"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter\old_version\lib\data\model\laptop_model.dart", "Dart", 112, 2, 4, 118
"d:\Flutter\old_version\lib\data\model\locale\custom_selected_list_items.dart", "Dart", 14, 0, 2, 16
"d:\Flutter\old_version\lib\data\model\locale\custom_selected_list_users.dart", "Dart", 14, 0, 2, 16
"d:\Flutter\old_version\lib\data\model\locale\custom_units_list.dart", "Dart", 10, 0, 2, 12
"d:\Flutter\old_version\lib\data\model\locale\inventory_list_data.dart", "Dart", 13, 0, 2, 15
"d:\Flutter\old_version\lib\data\model\purchaes_model.dart", "Dart", 68, 2, 4, 74
"d:\Flutter\old_version\lib\data\model\total_profit_model.dart", "Dart", 30, 0, 3, 33
"d:\Flutter\old_version\lib\data\model\types_model.dart", "Dart", 14, 0, 3, 17
"d:\Flutter\old_version\lib\data\model\units_model.dart", "Dart", 26, 0, 3, 29
"d:\Flutter\old_version\lib\data\model\users_model.dart", "Dart", 32, 0, 2, 34
"d:\Flutter\old_version\lib\data\source\auth\register_class.dart", "Dart", 86, 0, 9, 95
"d:\Flutter\old_version\lib\data\source\auth_class.dart", "Dart", 24, 0, 5, 29
"d:\Flutter\old_version\lib\data\source\buying_class.dart", "Dart", 81, 0, 7, 88
"d:\Flutter\old_version\lib\data\source\cashier_class.dart", "Dart", 493, 38, 50, 581
"d:\Flutter\old_version\lib\data\source\imp_exp\export_class.dart", "Dart", 82, 0, 9, 91
"d:\Flutter\old_version\lib\data\source\imp_exp\import_class.dart", "Dart", 81, 0, 6, 87
"d:\Flutter\old_version\lib\data\source\inventory_data\box_class.dart", "Dart", 193, 4, 20, 217
"d:\Flutter\old_version\lib\data\source\inventory_data\budget_data.dart", "Dart", 37, 0, 9, 46
"d:\Flutter\old_version\lib\data\source\inventory_data\creditor_deptor_class.dart", "Dart", 89, 0, 6, 95
"d:\Flutter\old_version\lib\data\source\inventory_data\expenses_class.dart", "Dart", 79, 0, 5, 84
"d:\Flutter\old_version\lib\data\source\inventory_data\imp_exp_class.dart", "Dart", 144, 4, 13, 161
"d:\Flutter\old_version\lib\data\source\inventory_data\invoice_class.dart", "Dart", 112, 0, 7, 119
"d:\Flutter\old_version\lib\data\source\inventory_data\profit_inventory_class.dart", "Dart", 170, 0, 8, 178
"d:\Flutter\old_version\lib\data\source\items_class.dart", "Dart", 104, 5, 15, 124
"d:\Flutter\old_version\lib\data\source\users_class.dart", "Dart", 53, 0, 11, 64
"d:\Flutter\old_version\lib\data\sql\sqldb.dart", "Dart", 153, 8, 26, 187
"d:\Flutter\old_version\lib\main.dart", "Dart", 58, 0, 6, 64
"d:\Flutter\old_version\lib\view\auth\login\login_screen.dart", "Dart", 188, 1, 7, 196
"d:\Flutter\old_version\lib\view\auth\system_auth\register_system_screen.dart", "Dart", 226, 0, 7, 233
"d:\Flutter\old_version\lib\view\auth\system_auth\verify_account_screen.dart", "Dart", 127, 0, 6, 133
