"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter\old_version\lib\view\cashier\windows\view\components\custom_grid_data_view.dart", "Dart", -13, 8, 4, -1
"d:\Flutter\old_version\lib\view\cashier\windows\view\components\custom_pending_cart.dart", "Dart", 2, 135, 5, 142
"d:\Flutter\old_version\lib\view\cashier\windows\view\components\search_box_widget.dart", "Dart", -22, 0, -3, -25
"d:\Flutter\old_version\lib\view\cashier\windows\view\components\show_drop_down_items_dialog.dart", "Dart", -155, 0, -5, -160
"d:\Flutter\old_version\lib\view\categories\categories_add_screen.dart", "Dart", 18, 0, 3, 21
"d:\Flutter\old_version\lib\view\categories\categories_edit_screen.dart", "Dart", 19, 0, 3, 22
"d:\Flutter\old_version\lib\view\categories\mobile\add_categories_mobile.dart", "Dart", -55, 0, -3, -58
"d:\Flutter\old_version\lib\view\categories\mobile\categories_screen_mobile.dart", "Dart", -91, -1, 0, -92
"d:\Flutter\old_version\lib\view\categories\widgets\add_category_form.dart", "Dart", 168, 1, 6, 175
"d:\Flutter\old_version\lib\view\categories\widgets\categories_card_widget.dart", "Dart", 135, 2, 2, 139
"d:\Flutter\old_version\lib\view\categories\widgets\view_categories_widget.dart", "Dart", 46, 0, 7, 53
"d:\Flutter\old_version\lib\view\categories\windows\add_catagories_widget.dart", "Dart", -53, 0, -3, -56
"d:\Flutter\old_version\lib\view\categories\windows\categories_add_screen_windows.dart", "Dart", 61, 2, 4, 67
"d:\Flutter\old_version\lib\view\categories\windows\categries_screen_windows.dart", "Dart", -18, 0, 1, -17
"d:\Flutter\old_version\lib\view\categories\windows\edit_categories_screen.dart", "Dart", -58, 0, -3, -61
"d:\Flutter\old_version\lib\view\categories\windows\view_categories_widget.dart", "Dart", -106, -1, -3, -110
"d:\Flutter\old_version\lib\view\home\desktop\home_widget_list.dart", "Dart", 7, 0, 0, 7
"d:\Flutter\old_version\lib\view\home\drawer\acount_screen.dart", "Dart", 4, 0, -1, 3
"d:\Flutter\old_version\lib\view\home\mobile\home_screen_mobile.dart", "Dart", 2, 0, 1, 3
"d:\Flutter\old_version\lib\view\home\mobile\how_widget_list_mobile.dart", "Dart", 13, -1, 0, 12
"d:\Flutter\old_version\lib\view\imp_exp\components\account_drop_down_widget.dart", "Dart", 150, 0, 5, 155
"d:\Flutter\old_version\lib\view\imp_exp\components\add_transaction_form_dialog.dart", "Dart", 84, 2, 3, 89
"d:\Flutter\old_version\lib\view\imp_exp\components\custom_drop_down_impexp.dart", "Dart", 116, 1, 5, 122
"d:\Flutter\old_version\lib\view\imp_exp\components\custom_expansion_tile.dart", "Dart", 67, 0, 3, 70
"d:\Flutter\old_version\lib\view\imp_exp\components\edit_import_export.dart", "Dart", 115, 0, 4, 119
"d:\Flutter\old_version\lib\view\imp_exp\desktop\export\export_add_widget.dart", "Dart", 123, 0, 3, 126
"d:\Flutter\old_version\lib\view\imp_exp\desktop\export\export_search_widget.dart", "Dart", 228, 0, 3, 231
"d:\Flutter\old_version\lib\view\imp_exp\desktop\export\export_table_widget.dart", "Dart", 182, 14, 6, 202
"d:\Flutter\old_version\lib\view\imp_exp\desktop\import\import_add_widget.dart", "Dart", 126, 0, 3, 129
"d:\Flutter\old_version\lib\view\imp_exp\desktop\import\import_screen.dart", "Dart", 49, 3, 6, 58
"d:\Flutter\old_version\lib\view\imp_exp\desktop\import\import_search_widget.dart", "Dart", 181, 21, 3, 205
"d:\Flutter\old_version\lib\view\imp_exp\desktop\import\import_table_widget.dart", "Dart", 125, 0, 6, 131
"d:\Flutter\old_version\lib\view\imp_exp\export_screen.dart", "Dart", 17, 99, 8, 124
"d:\Flutter\old_version\lib\view\imp_exp\import_export_screen.dart", "Dart", 135, 0, 4, 139
"d:\Flutter\old_version\lib\view\imp_exp\import_screen.dart", "Dart", 17, 0, 4, 21
"d:\Flutter\old_version\lib\view\imp_exp\mobile\export\export_add_widget_mobile.dart", "Dart", 121, 0, 3, 124
"d:\Flutter\old_version\lib\view\imp_exp\mobile\export\export_screen_mobile.dart", "Dart", 58, 0, 4, 62
"d:\Flutter\old_version\lib\view\imp_exp\mobile\export\export_search_widget_mobile.dart", "Dart", 179, 0, 3, 182
"d:\Flutter\old_version\lib\view\imp_exp\mobile\import\import_add_widget_mobile.dart", "Dart", 113, 0, 3, 116
"d:\Flutter\old_version\lib\view\imp_exp\mobile\import\import_screen_mobile.dart", "Dart", 106, 0, 4, 110
"d:\Flutter\old_version\lib\view\imp_exp\mobile\import\import_search_widget_mobile.dart", "Dart", 174, 0, 3, 177
"d:\Flutter\old_version\lib\view\import_export\desktop\export\export_add_widget.dart", "Dart", -122, 0, -3, -125
"d:\Flutter\old_version\lib\view\import_export\desktop\export\export_screen.dart", "Dart", -96, -5, -5, -106
"d:\Flutter\old_version\lib\view\import_export\desktop\export\export_search_widget.dart", "Dart", -229, 0, -3, -232
"d:\Flutter\old_version\lib\view\import_export\desktop\export\export_table_widget.dart", "Dart", -182, -14, -6, -202
"d:\Flutter\old_version\lib\view\import_export\desktop\import\import_add_widget.dart", "Dart", -117, 0, -3, -120
